id,segment,description,s_id,category,c_id,subcategory,b_id
193703600,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Legal & regulatory,370,Legal,3600
193703601,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Legal & regulatory,370,Taxation,3601
193703602,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Legal & regulatory,370,Regulatory,3602
193703603,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Legal & regulatory,370,KYC & AML,3603
193703604,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Legal & regulatory,370,Compliance,3604
193713700,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Professional services,371,Business consulting,3700
193713701,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Professional services,371,Investment advisory,3701
193713702,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Professional services,371,Education and Training,3702
193723800,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Marketing & Communication,372,Public Relations,3800
193723801,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Marketing & Communication,372,Marketing services,3801
193723802,Advisory,Activities related to the provision of consultancy and advisory services with regards to cryptoasset networks and tokens,19,Marketing & Communication,372,Community management,3802
204003900,MISC,Activities that do not fit any of the above categories,20,Other services,400,Notarisation and Timestamping,3900
204003901,MISC,Activities that do not fit any of the above categories,20,Other services,400,Mixing services,3901
204014000,MISC,Activities that do not fit any of the above categories,20,Industry initiatives,401,Standard-setting,4000
204014001,MISC,Activities that do not fit any of the above categories,20,Industry initiatives,401,Self-regulatory,4001
204014002,MISC,Activities that do not fit any of the above categories,20,Industry initiatives,401,Advocacy,4002
214304100,Investment services,N/A,21,Investment management,430,N/A,4100
214604200,Investment services,N/A,21,Financial product issuance,460,ETP/ETF,4200
214604201,Investment services,N/A,21,Financial product issuance,460,STO,4201
214604202,Investment services,N/A,21,Financial product issuance,460,Derivatives issuance,4202
214604203,Investment services,N/A,21,Financial product issuance,460,Futures contracts issuance,4203
